Index,Raw #,#,Set,Name,Team,Pts.,Yr.,OB/C,Spd/IP,Pos,H,Icon,PU,SO,GB,FB,W,S,S+,DB,TR,HR
'00 453 1st,453,453,1st,Tony Fernandez,Blue Jays,390,'00,10,B,3B+1,S,,-,-,1-3,4-,5-9,10-16,-,17-19,-,20+
'02 39 ASG,39,39,ASG,Vicente Padilla,Phillies,390,'02,4,7,Starter,R,,1-2,3-6,7-15,16-,-,17-19,-,20-25,-,26+
'03 115-1 UL,115,115-1,UL,Wade Miller,Astros,390,'03,4,7,Starter,R,,-,1-5,6-11,12-16,17-,18-19,-,20-21,-,22+
'03 87-1 UL,87,87-1,UL,Zach Day,Expos,390,'03,4,6,Starter,R,R,1-2,3-5,6-16,17-,18-,19-21,-,22-,-,23+
'00 127-1 1st,127,127-1,1st,Aaron Sele,Mariners,380,'00,3,7,Starter,R,,7-8,1-6,9-13,14-16,17-,18-19,-,20-,-,-
'00 117-1 1st,117,117-1,1st,Al Martin,Padres,380,'00,8,A,LF-RF+1,L,,-,1-2,3-,4-,5-7,8-12,13-,14-16,17-,18-20
'03 91-2 UL,91,91-2,UL,Austin Kearns,Reds,380,'03,13,11,LF-RF+2,R,R,-,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
'04 75-2 UL,75,75-2,UL,Bartolo Colon,White Sox,380,'04,4,8,Starter,R,,1-4,5-8,9-14,15-16,17-,18-19,-,20-23,-,24+
'03 109-1 UL,109,109-1,UL,Brandon Larson,Reds,380,'03,11,10,LF-RF+1,R,R,-,1-,2-4,5-6,7-8,9-16,-,17-18,-,19+
'04 67-2 UL,67,67-2,UL,Corey Patterson,Cubs,380,'04,10,15,CF+1,L,,-,1-2,3-4,5-6,7-,8-14,15-,16-17,18-,19+
'02 268 UL,268,268,UL,Craig Wilson,Pirates,380,'02,12,17,DH,R,,-,1-5,6-,-,7-11,12-17,-,-,-,18+
'05 268 UL,268,268,UL,Craig Wilson,Pirates,380,'05,10,13,"LF-RF+1, 1B+1",R,,,1-2,3-,4-5,6-9,10-15,-,16-18,-,19+
'00 413 1st,413,413,1st,Darren Oliver,Cardinals,380,'00,4,7,Starter,L,,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-
'02 13 ASG,13,13,ASG,Derek Jeter,Yankees,380,'02,12,19,SS+0,R,,-,1-2,3-5,6-7,8-12,13-16,17-,18-19,-,20+
'02 58-1 UL,58,58-1,UL,Eric Hinske,Blue Jays,380,'02,11,16,3B+1,L,,-,1-4,5-,6-,7-10,11-14,15-,16-18,-,19+
'05 248 UL,248,248,UL,Eric Milton,Phillies,380,'05,4,7,Starter,L,,1-3,4-6,7-14,15-16,17-,18-19,-,20-23,-,24+
'05 72-1 UL,72,72-1,UL,Freddy Garcia,White Sox,380,'05,4,7,Starter,R,,1-2,3-7,8-13,14-16,17-,18-19,-,20-24,-,25+
'04 75-3 UL,75,75-3,UL,Gary Sheffield,Yankees,380,'04,13,16,LF-RF+1,R,S,-,1-,2-4,5-7,8-11,12-16,17-,18-19,-,20+
'01 240 1st,240,240,1st,Geoff Jenkins,Brewers,380,'01,8,A,LF-RF+1,L,,-,1-3,4-,-,5-6,7-11,12-,13-15,16-,17-20
'00 124-1 1st,124,124-1,1st,Gil Meche,Mariners,380,'00,4,6,Starter,R,,4-,1-3,5-10,11-15,16-18,19-,-,20-,-,-
'05 65-1 UL,65,65-1,UL,Greg Maddux,Cubs,380,'05,4,6,Starter,R,,1-2,3-6,7-14,15-17,18-,19-21,-,22-,-,23+
'04 44-1 UL,44,44-1,UL,Ichiro,Mariners,380,'04,12,19,LF-RF+2,L,,-,1-,2-5,6-,7-9,10-14,15-17,18-,19-,20+
'03 297 UL,297,297,UL,Ismael Valdes,Rangers,380,'03,4,6,Starter,R,,1-,2-4,5-10,11-16,17-,18-19,-,20-21,-,22+
'02 1-2 UL,1,1-2,UL,J.C. Romero,Twins,380,'02,4,6,Starter,L,,1-3,4-10,11-15,16-17,18-26,-,-,-,-,27+
'05 103-1 UL,103,103-1,UL,Jake Westbrook,Indians,380,'05,4,7,Starter,R,,1-,2-4,5-13,14-16,17-,18-19,-,20-24,-,25+
'01 144-1 1st,144,144-1,1st,Jeffrey Hammonds,Rockies,380,'01,9,A,LF-RF+1,R,,-,1-,-,2-3,4-6,7-15,16-,17-18,-,19-20
'00 128-1 1st,128,128-1,1st,Jim Edmonds,Cardinals,380,'00,9,B,OF+2,L,,-,1-2,3-,4-,5-8,9-15,-,16-18,-,19-20
'04 233 UL,233,233,UL,Jorge Posada,Yankees,380,'04,13,13,C+6,S,S,-,1-2,3-5,6-7,8-12,13-17,-,18-,-,19+
'03 85-1 UL,85,85-1,UL,Jose Guillen,Reds,380,'03,10,11,LF-RF+2,R,,-,1-2,3-,4-5,6-7,8-15,-,16-18,-,19+
'02 105-1 UL,105,105-1,UL,Juan Gonzalez,Indians,380,'02,12,12,LF-RF+1,R,,-,1-2,3-4,5-7,8-9,10-15,-,16-17,-,18+
'02 75-2 UL,75,75-2,UL,Kazuhisa Ishii,Dodgers,380,'02,4,6,Starter,L,,1-3,4-10,11-15,16-17,18-26,-,-,-,-,27+
'01 140-1 1st,140,140-1,1st,Ken Caminiti,Rangers,380,'01,9,B,3B+1,S,,-,1-,2-,3-,4-10,11-15,16-,17-,-,18-20
'03 86-1 UL,86,86-1,UL,Kenny Lofton,Pirates,380,'03,11,20,CF+2,L,,-,1-,2-4,5-6,7-9,10-15,16-17,18-19,20-,21+
'04 119-2 UL,119,119-2,UL,Larry Walker,Rockies,380,'04,13,12,LF-RF+1,L,,-,1-2,3-5,6-7,8-12,13-17,-,18-,19-,20+
'02 28 ASG,28,28,ASG,Luis Castillo,Marlins,380,'02,11,21,2B+2,S,,-,1-3,4-5,6-,7-10,11-16,17-19,-,20-24,25+
'02 17 ASG,17,17,ASG,Manny Ramirez,Red Sox,380,'02,12,10,LF-RF+1,R,,-,1-4,5-6,7-,8-11,12-15,-,16-18,-,19+
'03 89-1 UL,89,89-1,UL,Melvin Mora,Orioles,380,'03,13,13,"OF+1, SS+3",R,,-,1-2,3-4,5-6,7-10,11-15,16-,17-18,19-,20+
'03 13-1 UL,13,13-1,UL,Miguel Batista,Diamondbacks,380,'03,4,5,Starter,R,,1-,2-4,5-12,13-16,17-,18-19,-,20-24,-,25+
'04 104-2 UL,104,104-2,UL,Miguel Tejada,Orioles,380,'04,11,14,SS+3,R,,-,1-,2-3,4-5,6-10,11-14,15-,16-18,-,19+
'01 213 1st,213,213,1st,Mike Sweeney,Royals,380,'01,10,B,1B+0,R,,-,-,1-2,3-4,5-9,10-17,-,18-,-,19-20
'02 7-1 UL,7,7-1,UL,Moises Alou,Cubs,380,'02,12,13,LF-RF+1,R,,-,-,1-4,5-6,7-9,10-16,-,17-,-,18+
'05 110-1 UL,110,110-1,UL,Odalis Perez,Dodgers,380,'05,4,6,Starter,L,,1-,2-5,6-13,14-17,18-,19-,-,20-23,-,24+
'03 113-1 UL,113,113-1,UL,Omar Daal,Orioles,380,'03,4,7,Starter,L,,1-,2-5,6-11,12-16,17-,18-19,-,20-23,-,24+
'01 114-1 1st,114,114-1,1st,Pete Harnisch,Reds,380,'01,5,6,Starter,R,,1-3,4-6,7-11,12-15,16-,17-18,-,19-20,-,-
'03 110-2 UL,110,110-2,UL,Randall Simon,Pirates,380,'03,11,10,1B+1,L,,-,1-,2-4,5-6,7-8,9-17,-,18-,-,19+
'00 326 1st,326,326,1st,Randy Velarde,Athletics,380,'00,9,A,2B+4,R,,-,1-,2-3,4-,5-8,9-16,17-,18-,19-,20+
'03 111-1 UL,111,111-1,UL,Randy Winn,Mariners,380,'03,10,19,OF+2,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
'03 112-1 UL,112,112-1,UL,Ray Durham,Giants,380,'03,11,18,2B+3,S,,-,1-,2-4,5-6,7-10,11-14,15-17,18-19,-,20+
'01 360 1st,360,360,1st,Ryan Klesko,Padres,380,'01,9,A,1B+0,L,,-,1-,2-3,4-,5-11,12-14,15-,16-17,-,18-20
'01 12-1 1st,12,12-1,1st,Scott Schoeneweis,Angels,380,'01,4,6,Starter,L,,1-2,3-5,6-13,14-15,16-,17-19,-,20-,-,-
'03 186 UL,186,186,UL,Tomo Ohka,Expos,380,'03,4,6,Starter,R,,1-4,5-7,8-14,15-16,17-,18-19,-,20-22,-,23+
'02 305 UL,305,305,UL,Aaron Sele,Mariners,370,'02,2,6,Starter,R,,1-4,5-7,8-13,14-18,-,19-22,-,-,-,23+
'02 91-1 UL,91,91-1,UL,Adam Dunn,Reds,370,'02,11,15,LF-RF+1,L,,-,1-5,-,6-,7-12,13-14,-,15-17,-,18+
'01 40-1 1st,40,40-1,1st,Andres Galarraga,Rangers,370,'01,9,B,DH,R,,-,1-,2-3,-,4-8,9-15,16-,17-18,19-,20+
'03 136 RS,136,136,RS,Benito Santiago '87,Padres,370,'03,11,16,C+7,R,RY S,-,1-2,3-4,5-6,7-,8-15,16-,17-19,-,20+
'04 295 UL,295,295,UL,Bret Boone,Mariners,370,'04,11,15,2B+4,R,G S,-,1-2,3-4,5-6,7-10,11-15,16-,17-18,-,19+
'00 428 1st,428,428,1st,Bubba Trammell,Devil Rays,370,'00,9,C,LF-RF+1,R,,-,-,1-,2-4,5-9,10-15,-,16-17,-,18-20
'05 44-1 UL,44,44-1,UL,Carlos Silva,Twins,370,'05,4,7,Starter,R,,1-2,3-7,8-14,15-16,17-,18-20,-,21-25,-,26+
'01 101 1st,101,101,1st,Charles Johnson,Marlins,370,'01,9,C,C+6,R,,-,1-3,4-,-,5-9,10-15,-,16-17,-,18-20
'02 116 SS,116,116,SS,Chuck Knoblauch '97,Twins,370,'02,12,22,2B+6,R,[ G S ],-,1-2,3-5,6-7,8-11,12-14,15-16,17-19,20-,21+
'00 128-2 1st,128,128-2,1st,Dave Burba,Indians,370,'00,3,7,Starter,R,,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-
'01 132-1 1st,132,132-1,1st,Fernando Tatis,Expos,370,'01,9,B,3B+2,R,,-,1-3,-,4-,5-11,12-14,15-,16-17,-,18-20
'02 332 UL,332,332,UL,Frank Catalanotto,Rangers,370,'02,12,18,LF-RF+1,L,,-,-,1-4,5-6,7-9,10-16,17-,18-19,-,20+
'03 35-1 UL,35,35-1,UL,Gary Sheffield,Braves,370,'03,13,12,LF-RF+0,R,,-,1-,2-4,5-7,8-11,12-16,17-,18-,-,19+
'03 43 P,43,43,P,Gary Sheffield,Braves,370,'03,13,12,LF-RF+0,R,,-,1-,2-4,5-7,8-11,12-16,17-,18-,-,19+
'00 84-1 1st,84,84-1,1st,Hideki Irabu,Expos,370,'00,5,5,Starter,R,,5-7,1-4,8-10,11-15,16-,17-19,-,20-,-,-
'04 183 UL,183,183,UL,Hideo Nomo,Dodgers,370,'04,2,7,Starter,R,,1-4,5-9,10-15,16-18,19-,20-21,-,22-23,-,24+
'04 304 UL,304,304,UL,Ichiro Suzuki,Mariners,370,'04,11,21,LF-RF+2,L,G,-,1-,2-4,5-6,7-8,9-15,16-17,18-,19-,20+
'00 13-1 1st,13,13-1,1st,Javy Lopez,Braves,370,'00,8,B,C+6,R,,-,1-,2-3,4-,5-6,7-14,-,15-16,-,17-20
'00 236 1st,236,236,1st,Jeff Cirillo,Brewers,370,'00,10,B,3B+3,R,,-,1-,2-3,4-5,6-9,10-17,-,18-19,-,20+
'01 203 1st,203,203,1st,Jermaine Dye,Royals,370,'01,9,C,LF-RF+1,R,,-,1-,2-,3-,4-7,8-14,-,15-17,-,18-20
'03 168 UL,168,168,UL,Jose Hernandez,Brewers,370,'03,10,10,SS+4,R,,-,1-2,3-4,5-,6-9,10-16,-,17-18,-,19+
'03 107-1 UL,107,107-1,UL,Josh Beckett,Marlins,370,'03,4,6,Starter,R,R,1-2,3-8,9-13,14-16,17-,18-19,-,20-22,-,23+
'04 331 UL,331,331,UL,Juan Gonzalez,Rangers,370,'04,10,9,LF-RF+1,R,,-,1-2,3-4,5-6,7-8,9-15,-,16-17,-,18+
'05 135-1 UL,135,135-1,UL,Juan Pierre,Marlins,370,'05,12,22,CF+0,L,SB,,-,1-4,5-6,7-8,9-15,16-18,19-,20-,21+
'00 119-1 1st,119,119-1,1st,Livan Hernandez,Giants,370,'00,4,7,Starter,R,,5-7,1-4,8-11,12-15,16-,17-19,-,20-,-,-
'00 55-2 1st,55,55-2,1st,Luis Polonia,Tigers,370,'00,8,A,LF-RF+0,L,,-,-,1-2,3-4,-,5-11,12-13,14-16,17-18,19-20
'05 276 UL,276,276,UL,Mark Loretta,Padres,370,'05,12,11,2B+2,R,S,,1-,2-4,5-6,7-10,11-16,-,17-19,-,20+
'04 288 UL,288,288,UL,Marquis Grissom,Giants,370,'04,11,13,CF+1,R,,-,1-,2-4,5-6,7-,8-15,16-17,18-19,-,20+
'05 134-1 UL,134,134-1,UL,Matt Clement,Red Sox,370,'05,3,6,Starter,R,,1-,2-7,8-14,15-17,18-,19-21,-,22-23,-,24+
'05 59-1 UL,59,59-1,UL,Matt Clement,Cubs,370,'05,3,6,Starter,R,,1-,2-7,8-14,15-17,18-,19-21,-,22-23,-,24+
'04 101-2 UL,101,101-2,UL,Milton Bradley,Indians,370,'04,13,15,CF+2,S,,-,1-2,3-5,6-,7-11,12-15,16-17,18-,19-,20+
'03 227 UL,227,227,UL,Pat Burrell,Phillies,370,'03,11,8,LF-RF+0,R,,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'00 76-1 1st,76,76-1,1st,Pat Rapp,Red Sox,370,'00,4,5,Starter,R,,4-5,1-3,6-12,13-15,16-17,18-20,-,-,-,-
'00 98-1 1st,98,98-1,1st,Ray Durham,White Sox,370,'00,9,A,2B+2,S,,-,1-,2-4,5-,6-9,10-15,16-17,18-,19-,20+
'00 292 1st,292,292,1st,Robin Ventura,Mets,370,'00,9,C,3B+3,L,,-,1-,2-,3-5,6-9,10-15,-,16-17,-,18-20
'00 292 DS,292,292,DS,Robin Ventura,Mets,370,'00,9,C,3B+3,L,,-,1-,2-,3-5,6-9,10-15,-,16-17,-,18-20
'01 66-2 1st,66,66-2,1st,Ron Gant,Rockies,370,'01,8,B,LF-RF+1,R,,-,1-,2-,3-,4-8,9-13,-,14-,15-,16-20
'01 461 1st,461,461,1st,Shannon Stewart,Blue Jays,370,'01,9,A,LF-RF+1,R,,-,1-,2-4,5-,6-7,8-14,15-,16-18,-,19-20
'05 148-1 UL,148,148-1,UL,Shawn Green,Diamondbacks,370,'05,11,13,"1B+1, LF-RF+1",L,,,1-2,3-5,6-,7-10,11-16,-,17-18,-,19+
'00 59-1 1st,59,59-1,1st,Sidney Ponson,Orioles,370,'00,3,7,Starter,R,,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-
'00 267 1st,267,267,1st,Vladimir Guerrero,Expos,370,'00,8,B,LF-RF+1,R,,-,-,1-2,3-4,5-6,7-12,13-,14-15,16-,17-20
'02 136-2 UL,136,136-2,UL,Aaron Sele,Angels,360,'02,2,6,Starter,R,,1-4,5-7,8-13,14-18,-,19-20,-,-,-,21+
'00 116-1 1st,116,116-1,1st,Barry Larkin,Reds,360,'00,9,A,SS+5,R,,-,-,1-3,4-,5-10,11-15,16-17,18-19,-,20+
'01 129-1 1st,129,129-1,1st,Bartolo Colon,Indians,360,'01,2,6,Starter,R,,1-3,4-10,11-15,16-17,18-19,20-,-,-,-,-
'01 129 AP,129,129,AP,Bartolo Colon,Indians,360,'01,2,6,Starter,R,,1-3,4-10,11-15,16-17,18-19,20-,-,-,-,-
'05 322 UL,322,322,UL,Carl Crawford,Devil Rays,360,'05,10,24,LF-RF+2,L,SB,,1-,2-4,5-6,7-8,9-13,14-16,17-18,19-,20+
'04 73-2 UL,73,73-2,UL,Carl Everett,Expos,360,'04,11,12,OF+1,S,,-,1-,2-3,4-6,7-10,11-16,-,17-18,-,19+
'02 189 UL,189,189,UL,Christian Guzman,Twins,360,'02,10,22,SS+2,S,,-,1-,2-5,6-,7-,8-14,15-,16-17,18-19,20+
'04 201 UL,201,201,UL,Corey Koskie,Twins,360,'04,12,13,3B+1,L,,-,1-2,3-4,5-6,7-11,12-16,17-,18-19,-,20+
'03 114-1 UL,114,114-1,UL,David Wells,Yankees,360,'03,4,7,Starter,L,,1-2,3-6,7-12,13-16,17-,18-19,-,20-,-,21+
'04 228 UL,228,228,UL,Derek Jeter,Yankees,360,'04,12,13,SS+1,R,,-,1-2,3-5,6-,7-9,10-16,17-,18-19,-,20+
'04 137 UL,137,137,UL,Derrek Lee,Marlins,360,'04,11,17,1B+1,R,G,-,1-2,3-4,5-6,7-11,12-15,16-,17-18,-,19+
'02 50-1 UL,50,50-1,UL,Edgardo Alfonzo,Mets,360,'02,12,14,3B+2,R,,-,1-,2-,3-6,7-12,13-17,-,18-19,-,20+
'05 231 UL,231,231,UL,Eric Chavez,Athletics,360,'05,12,12,3B+3,L,G,,1-2,3-4,5-6,7-12,13-17,-,18-,-,19+
'02 65-1 UL,65,65-1,UL,Eric Chavez,Athletics,360,'02,11,14,3B+2,L,,-,1-3,4-5,6-,7-10,11-14,-,15-18,-,19+
'04 46-1 UL,46,46-1,UL,Eric Chavez,Athletics,360,'04,10,13,LF-RF+2,L,,-,1-,2-3,4-5,6-11,12-16,-,17-,-,18+
'00 224 1st,224,224,1st,Eric Karros,Dodgers,360,'00,8,B,1B+0,R,,-,1-,2-,3-4,5-7,8-12,13-,14-16,-,17-20
'05 227 UL,227,227,UL,Gary Sheffield,Yankees,360,'05,12,11,LF-RF+1,R,S,,1-,2-4,5-6,7-11,12-17,-,18-,-,19+
'00 238 1st,238,238,1st,Geoff Jenkins,Brewers,360,'00,8,B,LF-RF+1,L,,-,1-,2-,3-,4-5,6-11,-,12-16,17-,18-20
'03 84-1 UL,84,84-1,UL,Gil Meche,Mariners,360,'03,4,6,Starter,R,,1-5,6-10,11-15,16-17,18-,19-20,-,21-,-,22+
'01 285 1st,285,285,1st,Glendon Rusch,Mets,360,'01,2,6,Starter,L,,1-4,5-8,9-13,14-17,-,18-20,-,-,-,-
'00 137-1 1st,137,137-1,1st,Greg Vaughn,Devil Rays,360,'00,7,A,LF-RF+2,R,,-,1-2,-,3-,4-10,11-12,13-,14-,-,15-20
'03 295 UL,295,295,UL,Ivan Rodriguez,Rangers,360,'03,11,11,C+6,R,,-,1-2,3-4,5-6,7-8,9-16,-,17-19,-,20+
'05 291 UL,291,291,UL,J.T. Snow,Giants,360,'05,13,10,1B+1,L,,,1-2,3-4,5-6,7-11,12-16,-,17-19,-,20+
'05 56-1 UL,56,56-1,UL,Jason Varitek,Red Sox,360,'05,12,13,C+5,S,,,1-2,3-4,5-6,7-10,11-15,16-17,18-19,-,20+
'03 188 UL,188,188,UL,Javier Vazquez,Expos,360,'03,4,7,Starter,R,,1-,2-5,6-11,12-16,17-,18-19,-,20-22,-,23+
'02 309 UL,309,309,UL,Jim Edmonds,Cardinals,360,'02,12,12,"CF+2, LF-RF+1",L,,-,1-4,5-,6-,7-12,13-16,-,17-18,-,19+
'02 109-1 UL,109,109-1,UL,Jim Thome,Indians,360,'02,12,10,1B+0,L,,-,1-6,-,-,7-12,13-16,-,17-,-,18+
'00 125-1 1st,125,125-1,1st,John Olerud,Mariners,360,'00,10,C,1B+1,L,,-,-,1-3,4-,5-12,13-16,-,17-18,-,19-20
'00 204 1st,204,204,1st,Johnny Damon,Royals,360,'00,9,A,LF-RF+1,L,,-,-,1-3,4-5,6-9,10-14,15-16,17-18,19-,20+
'05 24-1 UL,24,24-1,UL,Johnny Estrada,Braves,360,'05,11,8,C+4,S,S,,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
'02 82-2 UL,82,82-2,UL,Juan Gonzalez,Rangers,360,'02,12,12,LF-RF+1,R,,-,1-2,3-5,6-7,8-9,10-15,-,16-17,-,18+
'01 58-2 1st,58,58-2,1st,Juan Guzman,Devil Rays,360,'01,4,7,Starter,R,,1-4,5-8,9-13,14-16,17-,18-19,-,-,-,20+
'04 103-2 UL,103,103-2,UL,Ken Griffey Jr.,Reds,360,'04,11,12,CF+1,L,,-,1-2,3-,4-6,7-10,11-15,-,16-17,-,18+
'04 48-1 UL,48,48-1,UL,Kip Wells,Pirates,360,'04,3,6,Starter,R,,1-2,3-7,8-13,14-17,18-,19-23,-,24-26,-,27+
'04 118-1 UL,118,118-1,UL,Lou Brock,Cardinals,360,'04,11,28,LF-RF+1,L,SB S,-,1-2,3-4,5-6,7-8,9-14,15-17,18-,19-23,24+
'01 21-1 1st,21,21-1,1st,Luis Gonzalez,Diamondbacks,360,'01,9,C,LF-RF+1,L,,-,-,1-,2-3,4-8,9-14,-,15-17,-,18-20
'02 85-1 UL,85,85-1,UL,Magglio Ordonez,White Sox,360,'02,12,16,LF-RF+1,R,,-,-,1-5,6-7,8-10,11-15,16-,17-18,-,19+
'02 61-2 UL,61,61-2,UL,Manny Ramirez,Red Sox,360,'02,12,11,LF-RF+1,R,,-,1-5,6-,7-,8-11,12-15,-,16-17,-,18+
'00 324 1st,324,324,1st,Matt Stairs,Athletics,360,'00,8,B,LF-RF+0,L,,-,1-,2-,3-4,5-11,12-14,-,15-,-,16-20
'04 250 UL,250,250,UL,Miguel Tejada,Athletics,360,'04,10,12,SS+2,R,,-,1-,2-3,4-5,6-8,9-14,15-,16-18,-,19+
'04 45-1 UL,45,45-1,UL,Milton Bradley,Dodgers,360,'04,10,15,CF+1,S,,-,1-,2-3,4-5,6-10,11-15,-,16-18,-,19+
'02 143-1 UL,143,143-1,UL,Moises Alou,Astros,360,'02,12,13,LF-RF+1,R,,-,-,1-3,4-6,7-9,10-16,-,17-18,-,19+
'03 54-1 UL,54,54-1,UL,Nomar Garciaparra,Red Sox,360,'03,11,11,SS+2,R,,-,1-,2-4,5-7,8-9,10-16,-,17-19,-,20+
'00 286 1st,286,286,1st,Orel Hershiser,Mets,360,'00,4,6,Starter,R,,4-6,1-3,7-12,13-15,16-17,18-19,-,20-,-,-
'04 47-2 UL,47,47-2,UL,Paul Lo Duca,Dodgers,360,'04,13,10,"C+6, LF-RF+0",R,,-,-,1-3,4-6,7-9,10-18,-,19-20,-,21+
'02 279 UL,279,279,UL,Phil Nevin,Padres,360,'02,12,12,3B+2,R,,-,1-5,6-,7-,8-11,12-16,-,17-,-,18+
'01 361 1st,361,361,1st,Phil Nevin,Padres,360,'01,9,B,3B+1,R,,-,1-3,4-5,-,6-8,9-15,-,16-17,-,18-20
'01 361 UL,361,361,UL,Phil Nevin,Padres,360,'01,9,B,3B+1,R,,-,1-3,4-5,-,6-8,9-15,-,16-17,-,18-20
'00 369 1st,369,369,1st,Quilvio Veras,Padres,360,'00,9,A,2B+3,S,,-,1-2,3-5,-,6-10,11-15,16-17,18-19,-,20+
'04 22 P,22,22,P,Rafael Furcal,Braves,360,'04,10,20,SS+4,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
'04 24-2 UL,24,24-2,UL,Rafael Furcal,Braves,360,'04,10,20,SS+4,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
'05 285 UL,285,285,UL,Ray Durham,Giants,360,'05,10,13,2B+3,S,,,1-,2-3,4-5,6-9,10-14,15-16,17-18,19-,20+
'00 97-1 1st,97,97-1,1st,Rich Becker,Athletics,360,'00,7,B,OF+1,L,,-,1-4,-,5-,6-13,14-17,18-,-,19-,20+
'04 193 UL,193,193,UL,Richie Sexson,Brewers,360,'04,11,10,1B+0,R,HR,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'01 289 1st,289,289,1st,Rick White,Mets,360,'01,5,2,Reliever,R,,1-2,3-6,7-12,13-16,17-,18-19,-,20-,-,-
'04 3-1 UL,3,3-1,UL,Russ Ortiz,Braves,360,'04,4,7,Starter,R,,1-4,5-9,10-14,15-16,17-,18-19,-,20-25,-,26+
'00 436 1st,436,436,1st,Rusty Greer,Rangers,360,'00,10,C,LF-RF+1,L,,-,-,1-3,4-5,6-11,12-16,-,17-18,-,19-20
'00 436 DS,436,436,DS,Rusty Greer,Rangers,360,'00,10,C,LF-RF+1,L,,-,-,1-3,4-5,6-11,12-16,-,17-18,-,19-20
'01 172-1 1st,172,172-1,1st,Ryan Dempster,Marlins,360,'01,3,7,Starter,R,,1-3,4-8,9-13,14-16,17-,18-19,-,20-,-,-
'01 172 AP,172,172,AP,Ryan Dempster,Marlins,360,'01,3,7,Starter,R,,1-3,4-8,9-13,14-16,17-,18-19,-,20-,-,-
'01 172 UL,172,172,UL,Ryan Dempster,Marlins,360,'01,3,7,Starter,R,,1-3,4-8,9-13,14-16,17-,18-19,-,20-,-,-
'04 192 UL,192,192,UL,Scott Podsednik,Brewers,360,'04,12,23,CF+2,L,SB R,-,1-,2-4,5-6,7-9,10-14,15-18,19-,20-,21+
'00 417 1st,417,417,1st,Wilson Alvarez,Devil Rays,360,'00,3,6,Starter,L,,5-6,1-4,7-12,13-16,17-18,19-,-,20-,-,-
'04 203 UL,203,203,UL,A. J. Pierzynski,Twins,350,'04,11,10,C+7,L,,-,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
'02 12-2 UL,12,12-2,UL,A.J. Burnett,Marlins,350,'02,4,6,Starter,R,,-,4-7,8-11,12-16,17-18,19-23,-,-,-,24+
'01 356 1st,356,356,1st,Adam Eaton,Padres,350,'01,5,6,Starter,R,,1-2,3-5,6-11,12-14,15-16,17-19,-,20-,-,-
'01 356 AP,356,356,AP,Adam Eaton,Padres,350,'01,5,6,Starter,R,,1-2,3-5,6-11,12-14,15-16,17-19,-,20-,-,-
'00 287 1st,287,287,1st,Al Leiter,Mets,350,'00,4,6,Starter,R,,6-,1-5,7-11,12-15,16-17,18-19,-,20-,-,-
'00 17-1 1st,17,17-1,1st,Andy Benes,Diamondbacks,350,'00,4,6,Starter,R,,5-6,1-4,7-11,12-15,16-17,18-19,-,20-,-,-
'00 307 1st,307,307,1st,Andy Pettitte,Yankees,350,'00,4,6,Starter,L,,4-5,1-3,6-12,13-15,16-,17-19,-,20-,-,-
'04 96-2 UL,96,96-2,UL,Andy Pettitte,Astros,350,'04,4,7,Starter,L,20,1-2,3-7,8-13,14-16,17-,18-20,-,21-23,-,24+
'01 257 1st,257,257,1st,Brad Radke,Twins,350,'01,2,7,Starter,R,,1-3,4-7,8-14,15-17,-,18-19,-,20-,-,-
'01 257 AP,257,257,AP,Brad Radke,Twins,350,'01,2,7,Starter,R,,1-3,4-7,8-14,15-17,-,18-19,-,20-,-,-
'01 257 UL,257,257,UL,Brad Radke,Twins,350,'01,2,7,Starter,R,,1-3,4-7,8-14,15-17,-,18-19,-,20-,-,-
'00 50-2 1st,50,50-2,1st,Brent Mayne,Rockies,350,'00,10,B,C+6,R,,-,1-2,3-,4-,5-8,9-15,-,16-20,-,-
'01 429 1st,429,429,1st,Bryan Rekar,Devil Rays,350,'01,3,6,Starter,R,,1-3,4-6,7-13,14-16,-,17-19,-,20-,-,-
'00 61-2 1st,61,61-2,1st,Cal Ripken Jr.,Orioles,350,'00,8,C,3B+2,R,,-,-,1-3,4-,-,5-12,-,13-16,-,17-20
'01 49-1 1st,49,49-1,1st,Chris Stynes,Red Sox,350,'01,9,B,"2B+3, 3B+2",R,,-,1-,2-4,-,5-6,7-16,-,17-18,-,19-20
'00 58-1 1st,58,58-1,1st,Cliff Floyd,Marlins,350,'00,8,A,LF-RF+0,L,,-,1-2,3-,4-5,6-8,9-13,14-,15-17,-,18-20
'00 253 1st,253,253,1st,Corey Koskie,Twins,350,'00,9,B,3B+2,L,,-,1-2,3-,4-,5-8,9-16,-,17-18,-,19-20
